,Name,Club,Age,Market Value,Nationality
0,Alexis Sanchez,Arsenal,28,65.0,Chile
1,Mesut Ozil,Arsenal,28,50.0,Germany
2,Petr Cech,Arsenal,35,7.0,Czech Republic
3,Theo Walcott,Arsenal,28,20.0,England
4,Laurent Koscielny,Arsenal,31,22.0,France
5,Hector Bellerin,Arsenal,22,30.0,Spain
6,Olivier Giroud,Arsenal,30,22.0,France
7,Nacho Monreal,Arsenal,31,13.0,Spain
8,Shkodran Mustafi,Arsenal,25,30.0,Germany
9,Alex Iwobi,Arsenal,21,10.0,Nigeria
10,Granit Xhaka,Arsenal,24,35.0,Switzerland
11,Alex Oxlade-Chamberlain,Arsenal,23,22.0,England
12,Jack Wilshere,Arsenal,25,18.0,England
13,Aaron Ramsey,Arsenal,26,35.0,Wales
14,Francis Coquelin,Arsenal,26,15.0,France
15,Gabriel Paulista,Arsenal,26,13.0,Brazil
16,Kieran Gibbs,Arsenal,27,10.0,England
17,Santi Cazorla,Arsenal,32,12.0,Spain
18,Danny Welbeck,Arsenal,26,15.0,England
19,Rob Holding,Arsenal,21,7.0,England
20,Mohamed Elneny,Arsenal,25,10.0,Egypt
21,Lucas Perez,Arsenal,28,15.0,Spain
22,Emiliano Martinez,Arsenal,24,1.0,Argentina
23,David Ospina,Arsenal,28,7.0,Colombia
24,Carl Jenkinson,Arsenal,25,5.0,England
25,Per Mertesacker,Arsenal,32,6.0,Germany
26,Sead Kolasinac,Arsenal,24,15.0,Bosnia
27,Alexandre Lacazette,Arsenal,26,40.0,France
28,Joshua King,Bournemouth,25,8.0,Norway
29,Jermain Defoe,Bournemouth,34,5.0,England
30,Charlie Daniels,Bournemouth,30,3.0,England
31,Artur Boruc,Bournemouth,37,1.0,Poland
32,Steve Cook,Bournemouth,26,5.0,England
33,Junior Stanislas,Bournemouth,27,4.5,England
34,Adam Smith,Bournemouth,26,5.0,England
35,Ryan Fraser,Bournemouth,23,5.0,Scotland
36,Simon Francis,Bournemouth,32,2.5,England
37,Benik Afobe,Bournemouth,24,10.0,Congo DR
38,Harry Arter,Bournemouth,27,2.5,Ireland
39,Marc Pugh,Bournemouth,30,2.0,England
40,Callum Wilson,Bournemouth,25,10.0,England
41,Nathan Ake,Bournemouth,22,8.0,Netherlands
42,Dan Gosling,Bournemouth,27,3.0,England
43,Andrew Surman,Bournemouth,30,2.0,England
44,Jordon Ibe,Bournemouth,21,8.0,England
45,Lewis Cook,Bournemouth,20,6.0,England
46,Lys Mousset,Bournemouth,21,4.0,France
47,Adam Federici,Bournemouth,32,1.0,Australia
48,Max Gradel,Bournemouth,29,7.0,Cote d'Ivoire
49,Tyrone Mings,Bournemouth,24,5.0,England
50,Brad Smith,Bournemouth,23,2.0,Australia
51,Asmir Begovic,Bournemouth,30,8.0,Bosnia
52,Niki Maenpaa,Brighton+and+Hove,32,0.25,Finland
53,Mathew Ryan,Brighton+and+Hove,25,3.5,Australia
54,Lewis Dunk,Brighton+and+Hove,25,5.0,England
55,Shane Duffy,Brighton+and+Hove,25,5.0,Ireland
56,Uwe Hunemeier,Brighton+and+Hove,31,1.5,Germany
57,Bruno,Brighton+and+Hove,36,0.5,Argentina
58,Gaetan Bong,Brighton+and+Hove,29,1.5,Cameroon
59,Liam Rosenior,Brighton+and+Hove,33,1.0,England
60,Connor Goldson,Brighton+and+Hove,24,0.75,England
61,Markus Suttner,Brighton+and+Hove,30,2.0,Austria
62,Anthony Knockaert,Brighton+and+Hove,25,8.0,France
63,Dale Stephens,Brighton+and+Hove,27,5.0,England
64,Beram Kayal,Brighton+and+Hove,29,1.25,Israel
65,Steve Sidwell,Brighton+and+Hove,34,1.0,England
66,Solly March,Brighton+and+Hove,23,0.5,England
67,Jiri Skalak,Brighton+and+Hove,25,1.5,Czech Republic
68,Oliver Norwood,Brighton+and+Hove,26,2.5,Northern Ireland
69,Jamie Murphy,Brighton+and+Hove,27,1.75,Scotland
70,Pascal Gross,Brighton+and+Hove,26,4.0,Germany
71,Glenn Murray,Brighton+and+Hove,33,3.5,England
72,Tomer Hemed,Brighton+and+Hove,30,2.5,Israel
73,Sam Baldock,Brighton+and+Hove,28,3.0,England
74,Tom Heaton,Burnley,31,4.0,England
75,Sam Vokes,Burnley,27,4.5,Wales
76,Andre Gray,Burnley,26,10.0,England
77,Ben Mee,Burnley,27,6.0,England
78,Stephen Ward,Burnley,31,1.5,Ireland
79,Matthew Lowton,Burnley,28,2.5,England
80,Ashley Barnes,Burnley,27,2.5,England
81,Jeff Hendrick,Burnley,25,6.0,Ireland
82,Scott Arfield,Burnley,28,3.0,Canada
83,Steven Defour,Burnley,29,6.0,Belgium
84,Dean Marney,Burnley,33,1.0,England
85,Jack Cork,Burnley,28,5.0,England
86,Johann Berg Gudmundsson,Burnley,26,2.5,Iceland
87,Robbie Brady,Burnley,25,10.0,Ireland
88,James Tarkowski,Burnley,24,2.0,England
89,Ashley Westwood,Burnley,27,4.0,England
90,Kevin Long,Burnley,26,0.5,Ireland
91,Matthew Taylor,Burnley,35,0.25,England
92,Eden Hazard,Chelsea,26,75.0,Belgium
93,Diego Costa,Chelsea,28,50.0,Spain
94,Gary Cahill,Chelsea,31,16.0,England
95,Marcos Alonso Mendoza,Chelsea,26,25.0,Spain
96,Cesar Azpilicueta,Chelsea,27,30.0,Spain
97,Pedro,Chelsea,29,28.0,Spain
98,Thibaut Courtois,Chelsea,25,40.0,Belgium
99,David Luiz,Chelsea,30,30.0,Brazil
100,Cesc Fabregas,Chelsea,30,35.0,Spain
101,Willian,Chelsea,28,32.0,Brazil
102,Victor Moses,Chelsea,26,18.0,Nigeria
